path,source_id,speaker,language,dialect,multi_speaker,consent_attested,notes
training-data/1.opus,team-tw-001-001,team_tw_speaker_001,tw,,false,,User confirmed all recordings are Twi and one speaker; user attests ownership and intended training use; speaker-specific consent evidence not yet recorded.
training-data/2.opus,team-tw-001-002,team_tw_speaker_001,tw,,false,,User confirmed all recordings are Twi and one speaker; user attests ownership and intended training use; speaker-specific consent evidence not yet recorded.
training-data/3.opus,team-tw-001-003,team_tw_speaker_001,tw,,false,,User confirmed all recordings are Twi and one speaker; user attests ownership and intended training use; speaker-specific consent evidence not yet recorded.
training-data/4.opus,team-tw-001-004,team_tw_speaker_001,tw,,false,,User confirmed all recordings are Twi and one speaker; user attests ownership and intended training use; speaker-specific consent evidence not yet recorded.
training-data/5.opus,team-tw-001-005,team_tw_speaker_001,tw,,false,,User confirmed all recordings are Twi and one speaker; user attests ownership and intended training use; speaker-specific consent evidence not yet recorded.
training-data/6.opus,team-tw-001-006,team_tw_speaker_001,tw,,false,,User confirmed all recordings are Twi and one speaker; user attests ownership and intended training use; speaker-specific consent evidence not yet recorded.
training-data/7.opus,team-tw-001-007,team_tw_speaker_001,tw,,false,,User confirmed all recordings are Twi and one speaker; user attests ownership and intended training use; speaker-specific consent evidence not yet recorded.
training-data/8.opus,team-tw-001-008,team_tw_speaker_001,tw,,false,,User confirmed all recordings are Twi and one speaker; user attests ownership and intended training use; speaker-specific consent evidence not yet recorded.
training-data/9.opus,team-tw-001-009,team_tw_speaker_001,tw,,false,,User confirmed all recordings are Twi and one speaker; user attests ownership and intended training use; speaker-specific consent evidence not yet recorded.
training-data/10.opus,team-tw-001-010,team_tw_speaker_001,tw,,false,,User confirmed all recordings are Twi and one speaker; user attests ownership and intended training use; speaker-specific consent evidence not yet recorded.
training-data/11.opus,team-tw-001-011,team_tw_speaker_001,tw,,false,,User confirmed all recordings are Twi and one speaker; user attests ownership and intended training use; speaker-specific consent evidence not yet recorded.
training-data/12.opus,team-tw-001-012,team_tw_speaker_001,tw,,false,,User confirmed all recordings are Twi and one speaker; user attests ownership and intended training use; speaker-specific consent evidence not yet recorded.
training-data/13.opus,team-tw-001-013,team_tw_speaker_001,tw,,false,,User confirmed all recordings are Twi and one speaker; user attests ownership and intended training use; speaker-specific consent evidence not yet recorded.
training-data/14.opus,team-tw-001-014,team_tw_speaker_001,tw,,false,,User confirmed all recordings are Twi and one speaker; user attests ownership and intended training use; speaker-specific consent evidence not yet recorded.
training-data/15.opus,team-tw-001-015,team_tw_speaker_001,tw,,false,,User confirmed all recordings are Twi and one speaker; user attests ownership and intended training use; speaker-specific consent evidence not yet recorded.
training-data/16.opus,team-tw-001-016,team_tw_speaker_001,tw,,false,,User confirmed all recordings are Twi and one speaker; user attests ownership and intended training use; speaker-specific consent evidence not yet recorded.
training-data/17.opus,team-tw-001-017,team_tw_speaker_001,tw,,false,,User confirmed all recordings are Twi and one speaker; user attests ownership and intended training use; speaker-specific consent evidence not yet recorded.
training-data/18.opus,team-tw-001-018,team_tw_speaker_001,tw,,false,,User confirmed all recordings are Twi and one speaker; user attests ownership and intended training use; speaker-specific consent evidence not yet recorded.
training-data/19.opus,team-tw-001-019,team_tw_speaker_001,tw,,false,,User confirmed all recordings are Twi and one speaker; user attests ownership and intended training use; speaker-specific consent evidence not yet recorded.
training-data/20.opus,team-tw-001-020,team_tw_speaker_001,tw,,false,,User confirmed all recordings are Twi and one speaker; user attests ownership and intended training use; speaker-specific consent evidence not yet recorded.
